"filename", "language", "JavaScript", "CSS", "Less", "comment", "blank", "total"
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\apis\auth.js", "JavaScript", 4, 0, 0, 0, 1, 5
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\apis\index.js", "JavaScript", 8, 0, 0, 0, 2, 10
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\apis\merchant.js", "JavaScript", 24, 0, 0, 0, 9, 33
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\apis\service_type.js", "JavaScript", 3, 0, 0, 0, 4, 7
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\apis\upload.js", "JavaScript", 3, 0, 0, 0, 1, 4
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\backend\apis\index.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\backend\config\index.js", "JavaScript", 6, 0, 0, 0, 2, 8
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\backend\middlewares\apis\index.js", "JavaScript", 17, 0, 0, 0, 3, 20
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\backend\middlewares\apis\login.js", "JavaScript", 17, 0, 0, 0, 7, 24
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\backend\middlewares\apis\logout.js", "JavaScript", 6, 0, 0, 0, 5, 11
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\backend\middlewares\apis\me.js", "JavaScript", 7, 0, 0, 1, 1, 9
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\backend\middlewares\apis\upload.js", "JavaScript", 41, 0, 0, 0, 15, 56
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\backend\middlewares\apis\upload_signature.js", "JavaScript", 17, 0, 0, 4, 7, 28
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\backend\middlewares\error\index.js", "JavaScript", 73, 0, 0, 3, 12, 88
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\backend\middlewares\session\index.js", "JavaScript", 11, 0, 0, 2, 3, 16
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\components\Container\DarkContainer.js", "JavaScript", 4, 0, 0, 0, 2, 6
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\components\Container\WhiteContainer.js", "JavaScript", 4, 0, 0, 0, 2, 6
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\components\Footer\index.js", "JavaScript", 131, 0, 0, 1, 5, 137
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\components\Header\index.js", "JavaScript", 106, 0, 0, 1, 9, 116
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\components\Item\index.js", "JavaScript", 20, 0, 0, 0, 3, 23
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\components\Layout\index.js", "JavaScript", 14, 0, 0, 0, 2, 16
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\components\Loading\AppLoading.js", "JavaScript", 8, 0, 0, 0, 2, 10
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\components\Merchant\index.js", "JavaScript", 25, 0, 0, 0, 2, 27
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\components\ProHeader\index.js", "JavaScript", 111, 0, 0, 1, 9, 121
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\components\Product\index.js", "JavaScript", 20, 0, 0, 0, 1, 21
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\components\ServiveItem\item.js", "JavaScript", 65, 0, 0, 1, 5, 71
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\components\TableMenu\index.js", "JavaScript", 34, 0, 0, 0, 2, 36
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\components\ThemeSwitch\index.js", "JavaScript", 49, 0, 0, 1, 7, 57
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\components\TimeTableButton\index.js", "JavaScript", 8, 0, 0, 0, 2, 10
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\components\TimeTable\index.js", "JavaScript", 64, 0, 0, 0, 4, 68
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\components\vipTimeTable\index.js", "JavaScript", 62, 0, 0, 0, 3, 65
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\pages\_app.js", "JavaScript", 33, 0, 0, 1, 8, 42
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\pages\_document.js", "JavaScript", 90, 0, 0, 8, 11, 109
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\pages\api\[[...slug]].js", "JavaScript", 41, 0, 0, 2, 12, 55
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\pages\auth\login.js", "JavaScript", 121, 0, 0, 3, 10, 134
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\pages\auth\passwordForget.js", "JavaScript", 128, 0, 0, 0, 4, 132
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\pages\auth\register.js", "JavaScript", 199, 0, 0, 3, 10, 212
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\pages\become-merchant\index.js", "JavaScript", 99, 0, 0, 5, 4, 108
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\pages\contact\index.js", "JavaScript", 125, 0, 0, 0, 3, 128
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\pages\index.js", "JavaScript", 120, 0, 0, 1, 3, 124
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\pages\job-application\index.js", "JavaScript", 127, 0, 0, 0, 4, 131
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\pages\profile\index.js", "JavaScript", 57, 0, 0, 0, 2, 59
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\pages\profile\update.js", "JavaScript", 57, 0, 0, 0, 3, 60
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\pages\serviceCondition\index.js", "JavaScript", 163, 0, 0, 0, 2, 165
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\pages\service\booking.js", "JavaScript", 256, 0, 0, 0, 14, 270
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\pages\service\index.js", "JavaScript", 153, 0, 0, 0, 3, 156
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\styles\globals.css", "CSS", 0, 65, 0, 0, 9, 74
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\styles\less\dark.less", "Less", 0, 0, 16, 1, 4, 21
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\styles\less\index.less", "Less", 0, 0, 2, 0, 2, 4
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\utils\cloudinary.js", "JavaScript", 7, 0, 0, 1, 4, 12
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\utils\index.js", "JavaScript", 20, 0, 0, 0, 3, 23
"c:\Users\orgil\Desktop\workpspace\fun+\user-web\src\utils\request.js", "JavaScript", 114, 0, 0, 13, 25, 152
"Total", "-", 2872, 65, 18, 53, 273, 3281